City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Mar Del Plata,AR,2022-02-11 00:52:31,-38.0023,-57.5575,71.62,91,20,21.0
191,Port Hedland,AU,2022-02-11 00:52:04,-20.3167,118.5667,89.65,62,40,14.97
192,Thompson,CA,2022-02-11 00:56:49,55.7435,-97.8558,-12.84,70,40,14.97
193,Gritsovskiy,RU,2022-02-11 00:56:49,54.1376,38.1604,26.19,95,99,9.37
194,Rzeszow,PL,2022-02-11 00:56:50,50.0413,21.999,43.47,79,0,6.91
195,Vostok,RU,2022-02-11 00:56:50,46.4856,135.8833,17.49,90,99,0.27
196,Mapiri,BO,2022-02-11 00:56:50,-15.25,-68.1667,70.45,92,100,1.79
197,Henties Bay,NA,2022-02-11 00:56:51,-22.116,14.2845,69.85,84,87,9.22
198,Kahului,US,2022-02-11 00:56:51,20.8947,-156.47,76.96,75,76,8.01
199,Brae,GB,2022-02-11 00:44:33,60.3964,-1.353,35.51,53,100,14.32
200,Udachnyy,RU,2022-02-11 00:56:51,66.4167,112.4,-1.55,84,98,7.63
201,Birao,CF,2022-02-11 00:56:52,10.2849,22.7882,73.08,11,62,12.41
202,Tilichiki,RU,2022-02-11 00:56:52,60.4667,166.1,-6.93,73,5,7.14
203,Upernavik,GL,2022-02-11 00:52:05,72.7868,-56.1549,-13.83,98,70,5.57
204,Iqaluit,CA,2022-02-11 00:56:21,63.7506,-68.5145,-4.27,83,100,2.3
205,Thinadhoo,MV,2022-02-11 00:56:53,0.5333,72.9333,80.98,74,100,3.53
206,Antofagasta,CL,2022-02-11 00:46:58,-23.65,-70.4,65.61,78,2,3.78
207,New Norfolk,AU,2022-02-11 00:56:53,-42.7826,147.0587,70.66,32,16,1.99
208,Torbay,CA,2022-02-11 00:47:10,47.6666,-52.7314,32.27,92,100,16.11
209,Umea,SE,2022-02-11 00:56:54,63.8284,20.2597,26.91,74,0,12.66
210,Bathsheba,BB,2022-02-11 00:56:54,13.2167,-59.5167,77.61,69,40,19.57
211,Saint-Augustin,CA,2022-02-11 00:56:55,51.226,-58.6502,28.45,97,100,9.48
212,Dualing,PH,2022-02-11 00:56:55,7.1517,124.5683,83.03,68,100,3.65
213,Capoeiras,BR,2022-02-11 00:52:16,-8.7347,-36.6267,70.86,69,94,10.8
214,Nantucket,US,2022-02-11 00:55:29,41.2835,-70.0995,44.1,83,8,18.68
215,Axim,GH,2022-02-11 00:56:56,4.8699,-2.2405,77.83,92,0,4.65
216,Saint George,US,2022-02-11 00:56:23,37.1041,-113.5841,68.47,31,0,2.55
217,Villazon,BO,2022-02-11 00:56:57,-22.0866,-65.5942,51.71,73,82,16.44
218,Geraldton,AU,2022-02-11 00:56:57,-28.7667,114.6,86.41,45,52,8.05
219,Los Llanos De Aridane,ES,2022-02-11 00:56:57,28.6585,-17.9182,67.12,27,0,8.99
220,Bull Savanna,JM,2022-02-11 00:56:58,17.8868,-77.5902,74.5,83,54,6.67
221,Ust-Kuyga,RU,2022-02-11 00:56:58,70.0167,135.6,-17.3,98,100,7.99
222,Skeldon,GY,2022-02-11 00:56:58,5.8833,-57.1333,74.77,89,54,7.7
223,Champerico,GT,2022-02-11 00:56:59,14.3,-91.9167,86.54,69,0,8.57
224,San Cristobal,VE,2022-02-11 00:56:59,7.7669,-72.225,73.58,88,79,1.66
225,Tatvan,TR,2022-02-11 00:57:00,38.5067,42.2817,29.08,98,100,3.62
226,Mahon,ES,2022-02-11 00:57:00,39.8885,4.2658,43.36,93,0,2.3
227,Harper,LR,2022-02-11 00:57:00,4.375,-7.7169,78.6,90,0,6.85
228,Palmer,US,2022-02-11 00:57:01,42.1584,-72.3287,42.15,66,9,1.01
229,Hun,LY,2022-02-11 00:57:01,29.1268,15.9477,48.65,69,1,6.85
230,Formosa,AR,2022-02-11 00:57:02,-26.1775,-58.1781,87.78,35,0,8.05
231,Pedasi,PA,2022-02-11 00:58:02,7.5333,-80.0333,77.07,78,10,15.32
232,Bereda,ES,2022-02-11 00:58:03,43.2686,-7.5406,48.58,100,83,3.58
233,Jiwani,PK,2022-02-11 00:58:03,25.05,61.7417,69.01,59,0,6.98
