City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Mar Del Plata,AR,-38.0023,-57.5575,62.87,70,0,18.01,clear sky
140,Rudnogorsk,RU,57.2639,103.7519,-25.44,100,64,2.39,broken clouds
141,Mount Gambier,AU,-37.8333,140.7667,64.31,72,80,8.05,broken clouds
142,Hilo,US,19.7297,-155.09,67.12,89,10,5.99,clear sky
143,Pochutla,MX,15.7432,-96.4661,87.62,40,33,5.48,scattered clouds
144,Lekoni,GA,-1.5843,14.2591,82.2,58,64,6.2,broken clouds
145,Chuy,UY,-33.6971,-53.4616,75.09,82,98,5.41,overcast clouds
146,Avarua,CK,-21.2078,-159.775,71.65,100,94,2.3,overcast clouds
147,Ratnagiri,IN,16.9833,73.3,75.45,64,8,7.65,clear sky
148,Namatanai,PG,-3.6667,152.4333,78.06,82,100,3.78,light rain
149,Kahului,US,20.8947,-156.47,70.84,81,20,3.44,few clouds
150,New Norfolk,AU,-42.7826,147.0587,54.75,67,77,2.66,broken clouds
151,Tibati,CM,6.4667,12.6333,85.26,16,49,4.61,scattered clouds
152,Borgarnes,IS,64.5383,-21.9206,25.36,74,23,8.23,few clouds
153,Labuhan,ID,-6.8844,112.2051,76.89,87,100,6.06,moderate rain
154,Ochtrup,DE,52.2167,7.1833,42.01,56,83,9.57,broken clouds
155,Warrnambool,AU,-38.3833,142.4833,64.81,68,22,15.08,few clouds
156,Palana,RU,59.1167,159.9667,-12.08,95,32,4.09,scattered clouds
157,San Policarpo,PH,12.1791,125.5072,78.26,86,100,13.76,overcast clouds
158,Henties Bay,NA,-22.116,14.2845,74.86,79,14,8.14,light rain
159,Port Blair,IN,11.6667,92.75,77.47,69,10,14.58,clear sky
160,Fengrun,CN,39.8333,118.1167,24.75,56,100,6.11,overcast clouds
161,Iisalmi,FI,63.5592,27.1907,24.82,98,59,3.22,broken clouds
162,Maumere,ID,-8.6199,122.2111,78.48,81,99,3.02,overcast clouds
163,Casper,US,42.8666,-106.3131,29.5,69,96,18.99,overcast clouds
164,La Plata,AR,-34.9215,-57.9545,70.03,58,97,10.63,overcast clouds
165,Sibu,MY,2.3,111.8167,72.91,99,100,2.28,overcast clouds
166,Nanortalik,GL,60.1432,-45.2371,30.76,96,100,7.36,snow
167,Biak,ID,-0.9131,122.8766,74.88,87,100,4.21,overcast clouds
168,Naliya,IN,23.2667,68.8333,67.84,52,0,7.49,clear sky
169,Iqaluit,CA,63.7506,-68.5145,-35.45,92,30,4.0,scattered clouds
170,Impfondo,CG,1.6381,18.0667,86.76,22,25,1.36,scattered clouds
171,Qaanaaq,GL,77.484,-69.3632,-20.61,48,0,9.15,clear sky
172,Flinders,AU,-34.5833,150.8552,65.21,93,97,4.0,overcast clouds
173,Fatezh,RU,52.0891,35.8632,30.18,93,70,8.7,broken clouds
174,San Cristobal,VE,7.7669,-72.225,77.18,39,96,8.28,overcast clouds
175,Jackson,US,42.4165,-122.8345,63.64,70,0,0.0,clear sky
176,East London,ZA,-33.0153,27.9116,78.73,84,0,16.06,clear sky
177,Arman,RU,59.7,150.1667,-8.28,81,93,7.49,overcast clouds
178,Cockburn Town,TC,21.4612,-71.1419,80.56,61,40,19.57,scattered clouds
179,Dumabato,PH,16.3167,121.7,66.49,95,77,1.72,broken clouds
180,Barrow,US,71.2906,-156.7887,-34.58,100,100,6.91,overcast clouds
181,Ponta Do Sol,PT,32.6667,-17.1,67.71,69,17,3.83,few clouds
182,Berat,AL,40.7058,19.9522,51.62,71,100,1.81,overcast clouds
183,Carberry,CA,49.8689,-99.3602,-4.11,87,72,9.69,broken clouds
184,Boguchany,RU,58.3814,97.4531,-18.74,100,25,3.02,scattered clouds
185,Caravelas,BR,-17.7125,-39.2481,84.02,63,95,9.91,overcast clouds
186,Hobyo,SO,5.3505,48.5268,77.58,67,98,16.91,overcast clouds
187,Solnechnyy,RU,50.7214,136.6319,10.63,92,100,7.25,overcast clouds
